dataset,bubble_sort,std_sort
data/random_small.txt,0.0426095,0.000199959
data/random_medium.txt,1.93271,0.000829458
data/random_large.txt,8.40037,0.00171496
data/sorted_small.txt,0.0173902,1.1833e-05
data/sorted_medium.txt,0.425606,4.3375e-05
data/sorted_large.txt,1.66678,0.000102125
data/reverse_small.txt,0.0175101,1.95e-05
data/reverse_medium.txt,0.457388,7.4459e-05
data/reverse_large.txt,1.76795,0.000148125
data/random_small.txt,0.0300226,0.000181208
data/random_medium.txt,1.81385,0.000828625
data/random_large.txt,8.08782,0.00168829
data/sorted_small.txt,0.0169642,8.959e-06
data/sorted_medium.txt,0.410024,4.3334e-05
data/sorted_large.txt,1.64181,8.6958e-05
data/reverse_small.txt,0.0171906,1.7083e-05
data/reverse_medium.txt,0.416175,7.6375e-05
data/reverse_large.txt,1.67771,0.000160917
data/random_small.txt,0.0293496,0.000168875
data/random_medium.txt,1.84936,0.000818
data/random_large.txt,8.31209,0.00169038
data/sorted_small.txt,0.0171626,9.042e-06
data/sorted_medium.txt,0.411809,4.5041e-05
data/sorted_large.txt,1.66044,8.9708e-05
data/reverse_small.txt,0.017362,1.6125e-05
data/reverse_medium.txt,0.424175,7.625e-05
data/reverse_large.txt,1.69557,0.000147791
data/random_small.txt,0.0293022,0.000168459
data/random_medium.txt,1.88312,0.0008215
data/random_large.txt,8.36209,0.00170296
data/sorted_small.txt,0.0171442,9e-06
data/sorted_medium.txt,0.415658,5.525e-05
data/sorted_large.txt,1.67128,9.7e-05
data/reverse_small.txt,0.0172913,1.7458e-05
data/reverse_medium.txt,0.421869,7.5e-05
data/reverse_large.txt,1.70132,0.0001565
data/random_small.txt,0.0292952,0.000169959
data/random_medium.txt,1.886,0.000822708
data/random_large.txt,8.13774,0.00169467
data/sorted_small.txt,0.0161436,9.125e-06
data/sorted_medium.txt,0.41674,4.4292e-05
data/sorted_large.txt,1.65414,8.6375e-05
data/reverse_small.txt,0.01669,1.5916e-05
data/reverse_medium.txt,0.417379,7.475e-05
data/reverse_large.txt,1.67299,0.000153083
data/random_small.txt,0.028035,0.000155459
data/random_medium.txt,1.89264,0.000820667
data/random_large.txt,8.23689,0.00188671
data/sorted_small.txt,0.0183523,9.917e-06
data/sorted_medium.txt,0.419825,4.35e-05
data/sorted_large.txt,1.66011,8.9375e-05
data/reverse_small.txt,0.0171251,1.6e-05
data/reverse_medium.txt,0.422202,8.0875e-05
data/reverse_large.txt,1.68459,0.000152792
data/random_small.txt,0.0279575,0.000155334
data/random_medium.txt,1.86034,0.000839
data/random_large.txt,8.19005,0.00170237
data/sorted_small.txt,0.0161633,9.167e-06
data/sorted_medium.txt,0.411595,4.3375e-05
data/sorted_large.txt,1.6448,8.725e-05
data/reverse_small.txt,0.0164603,1.6041e-05
data/reverse_medium.txt,0.420957,7.5042e-05
data/reverse_large.txt,1.6717,0.000152708
data/random_small.txt,0.0282381,0.000154958
data/random_medium.txt,1.87795,0.000833917
data/random_large.txt,8.22758,0.00169188
data/sorted_small.txt,0.0161507,8.875e-06
data/sorted_medium.txt,0.412339,4.5375e-05
data/sorted_large.txt,1.6492,8.9292e-05
data/reverse_small.txt,0.0164593,1.6e-05
data/reverse_medium.txt,0.41616,7.6541e-05
data/reverse_large.txt,1.67174,0.00016525
data/random_small.txt,0.0287725,0.000155
data/random_medium.txt,1.8598,0.00081875
data/random_large.txt,8.1005,0.00169975
data/sorted_small.txt,0.0163869,8.958e-06
data/sorted_medium.txt,0.411404,4.4125e-05
data/sorted_large.txt,1.64328,8.7167e-05
data/reverse_small.txt,0.016373,1.6166e-05
data/reverse_medium.txt,0.426666,8.2834e-05
data/reverse_large.txt,1.70308,0.000176667
data/random_small.txt,0.0291377,0.00017825
data/random_medium.txt,1.87285,0.000817917
data/random_large.txt,8.16984,0.00168846
data/sorted_small.txt,0.0166875,9.5e-06
data/sorted_medium.txt,0.410984,4.5e-05
data/sorted_large.txt,1.64745,8.65e-05
